"type","density","pressure","velocity:0","velocity:1","velocity:2","domain","Points:0","Points:1","Points:2"
1,1008.7,29946,0.42486,0,-11.466,1,0.16019,0.00425,0.67409
1,1005.3,18218,-0.14018,0,-9.6003,1,0.15846,0.00425,0.06786
1,1005.4,18451,0.15238,0,-10.556,1,0.15956,0.00425,0.30148
1,1015.5,54183,-0.22642,0,-18.321,1,0.099296,0.00425,0.34642
1,1007.4,25286,0.35206,0,-10.772,1,0.16041,0.00425,0.39745
1,1011.1,38213,0.19636,0,-14.86,1,0.13691,0.00425,0.26511
1,1010.9,37530,-0.24559,0,-10.861,1,0.15949,0.00425,0.3797
0,1000,2.7409,0,0,0,1,0.19125,0.00425,0.15725
1,1010.5,36182,0.083115,0,-18.656,1,0.086239,0.00425,0.28314
1,1013.5,46655,-0.38373,0,-17.883,1,0.061205,0.00425,0.38785
1,1012.3,42600,0.067576,0,-14.917,1,0.13427,0.00425,0.23456
1,1013.2,45854,0.13199,0,-15.14,1,0.13391,0.00425,0.22271
1,1009,30794,-0.040564,0,-18.379,1,0.10304,0.00425,0.27812
1,994.17,-18939,-0.13594,0,-14.433,1,0.14242,0.00425,0.38857
0,1000,6.3474,0,0,0,1,0.19125,0.00425,0.23375
0,1003.8,12763,0,0,0,1,0.18275,0.00425,0.34425
1,1004.5,15136,-0.84833,0,-10.424,1,0.16034,0.00425,0.67723
0,1022.1,79790,0,0,0,1,0.17425,0.00425,0.23375
1,1010.5,36185,-0.47972,0,-11.999,1,0.14996,0.00425,0.21168
1,1012.5,43207,-0.17046,0,-18.796,1,0.090233,0.00425,0.18713
1,1004.4,14986,-0.087681,0,-17.797,1,0.11432,0.00425,0.39203
0,1017.3,60761,0,0,0,1,0.17425,0.00425,0.18275
1,1016.8,58977,-0.068378,0,-12.505,1,0.14983,0.00425,0.26498
1,1010.8,37503,-0.22937,0,-17.005,1,0.1257,0.00425,0.30654
0,1003.2,10683,0,0,0,1,0.18275,0.00425,0.15725
0,1025.6,92626,0,0,0,1,0.17425,0.00425,0.37825
1,1006,20391,-0.15684,0,-18.674,1,0.10094,0.00425,0.36551
0,1029.8,1.085e+05,0,0,0,1,0.17425,0.00425,0.31025
1,1012.2,42540,0.13013,0,-12.55,1,0.14843,0.00425,0.33222
1,1013.5,46654,0.10159,0,-18.853,1,0.074653,0.00425,0.046769
0,1022.2,79669,0,0,0,1,0.17425,0.00425,0.42075
1,1019.2,67965,-0.61998,0,-10.816,1,0.15925,0.00425,0.055212
1,1009.7,32955,0.1588,0,-16.562,1,0.12281,0.00425,0.26798
1,1011.9,41103,0.58664,0,-16.943,1,0.12586,0.00425,0.67101
1,1002,6431.6,-0.19443,0,-10.829,1,0.16248,0.00425,0.19546
1,1011,37847,-0.18805,0,-18.762,1,0.095728,0.00425,0.24514
1,1004.2,14285,0.71249,0,-13.047,1,0.14681,0.00425,0.19356
1,1013.5,46859,-0.083533,0,-14.127,1,0.14178,0.00425,0.21619
1,1008.6,29703,0.21995,0,-18.528,1,0.10623,0.00425,0.0061635
1,1011.3,38849,0.019697,0,-18.263,1,0.1069,0.00425,0.077785
1,1008.5,28975,0.13471,0,-17.958,1,0.11191,0.00425,0.27101
0,1000,4.1539,0,0,0,1,0.19125,0.00425,0.17425
1,1012.9,44748,0.10558,0,-17.886,1,0.10839,0.00425,0.29482
1,1008.7,30071,-0.16671,0,-17.367,1,0.11782,0.00425,0.25179
1,1012.9,44934,-0.086623,0,-17.497,1,0.11259,0.00425,0.35931
1,1007.6,26246,-0.67173,0,-17.075,1,0.12134,0.00425,0.32869
1,1015.5,54458,-0.25412,0,-18.718,1,0.094987,0.00425,0.15492
0,1028.1,1.0194e+05,0,0,0,1,0.17425,0.00425,0.36975
1,1009.4,31952,-0.039887,0,-18.523,1,0.079015,0.00425,0.33945
1,1003.3,11392,-0.013802,0,-19.253,1,0.085706,0.00425,0.06894
1,1022.6,80218,-0.11661,0,-18.138,1,0.091507,0.00425,0.022082
1,1007.8,27000,-0.2287,0,-17.958,1,0.11036,0.00425,0.13286
0,1000,6.0688,0,0,0,1,0.19125,0.00425,0.19975
1,1013.8,47882,-0.40296,0,-18.634,1,0.089431,0.00425,0.25894
0,1005.3,17905,0,0,0,1,0.18275,0.00425,0.31025
1,1010.2,35065,0.12734,0,-18.435,1,0.089891,0.00425,0.36147
1,1011.2,39095,-0.1415,0,-19.017,1,0.082159,0.00425,0.6707
1,1015.8,54927,-0.44334,0,-11.878,1,0.15588,0.00425,0.1681
1,1007.8,26662,-0.028954,0,-14.544,1,0.13435,0.00425,0.050759
1,1015,52435,-0.16451,0,-18.232,1,0.066844,0.00425,0.67067
1,1010.8,37574,-0.67794,0,-9.9327,1,0.15767,0.00425,0.095413
1,1014.7,51018,-1.1641,0,-14.214,1,0.13695,0.00425,0.21075
0,1000,6.782,0,0,0,1,0.19125,0.00425,0.31025
1,1011.7,40292,-0.15898,0,-18.073,1,0.10709,0.00425,0.10353
1,1011.7,40959,-0.1647,0,-18.168,1,0.11231,0.00425,0.31235
1,1011.6,39813,-0.44008,0,-18.051,1,0.10884,0.00425,0.032628
1,1014.7,50921,-0.2071,0,-11.32,1,0.1595,0.00425,0.28525
1,1012.3,42249,0.068177,0,-18.336,1,0.10659,0.00425,0.069164
1,1002.9,9925.3,0.25386,0,-18.933,1,0.089322,0.00425,0.0027434
0,1000,3.7565,0,0,0,1,0.19125,0.00425,0.00425
1,1013.3,46283,0.018429,0,-18.428,1,0.074549,0.00425,0.35479
0,1024.2,87336,0,0,0,1,0.17425,0.00425,0.03825
0,1005.8,20046,0,0,0,1,0.18275,0.00425,0.22525
1,1015.9,55683,-0.37748,0,-13.738,1,0.14543,0.00425,0.40004
1,1011.5,39762,0.43656,0,-18.802,1,0.090659,0.00425,0.6808
1,1016.2,56819,0.70357,0,-10.59,1,0.15906,0.00425,0.11833
1,1019.8,69970,-0.32761,0,-15.018,1,0.13675,0.00425,0.32875
1,1009.3,32484,-0.33198,0,-18.964,1,0.089446,0.00425,0.21237
1,1012.6,43229,-0.024074,0,-11.385,1,0.15991,0.00425,0.28643
1,1013.4,46287,-0.080212,0,-18.566,1,0.097172,0.00425,0.27631
